,id,followers,genres,name,popularity
10224,4KBk9hwqFYtGS3DlZJiCsQ,189229,"['chanson', 'french pop']",Eddy Mitchell,55
10225,4rOaQg3fasbihPVR4Qft1M,1254,"['classic icelandic pop', 'icelandic pop', 'icelandic rock']",GCD,25
10226,6HB1MchEEMg40EisSJuenZ,44608,['vocal jazz'],Betty Carter,42
10227,5I982BSx3LgYb0OxHmRGCd,573,['vintage tango'],Carlos Roldán,21
10228,2C79klpEJtG3RU6ORcKaj7,611,['estonian pop'],NEXUS,26
10229,632M26jlmnCrL8CqD5i7Kd,815454,"['argentine heavy metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock urbano mexicano']",Rata Blanca,64
10230,0msxvaLjlsLIudZFYaRFCP,1601,['bulgarian hip hop'],Bobkata,42
10231,6pDga1iElP4dCa4S5bYvoo,81095,"['classic bollywood', 'filmi', 'ghazal', 'sufi']",Chitra Singh,44
10232,3gO95GWZ1KPpn22PiTbpgC,1741,[],Grandiosa,28
10233,3L3S5mTws7nPBekXPHw1ou,2218,"['bubblegum dance', 'eurodance']",Look Twice,32
10234,6slyJwua5e5GuhuP82sTHR,958481,"['latin christian', 'latin worship', 'mariachi cristiano', 'rap cristiano', 'reggaeton cristiano']",Alex Campos,66
10235,58woHaSWd4BAWcS7qTZsq4,4483,['classic bollywood'],Meena Kapoor,5
10236,4OobrexSUrMceub0gxr4EI,10109,['classic danish pop'],Allan Olsen,39
10237,0PVPI2jOWDJtWpOxrXnT6F,105611,"['deep german hip hop', 'german hip hop', 'german trap']",Edo Saiya,69
10238,0JSxbQaj2iegWrm6EGsD8p,836,"['hoerspiel', 'kleine hoerspiel', 'reading']",Stefan Kaminski,57
10239,2XVoz4hoXgQ3C2BTGxl9V2,47431,"['argentine alternative rock', 'argentine indie', 'pop argentino']",Juan Ingaramo,59
10240,1tqVrFgrtKlnu2M3wQ98XL,13901,"['greek hip hop', 'greek indie', 'greek underground rap']",Social Waste,33
10241,0zH9gE26V3al5FwoPFM0o5,12805,"['afrikaans', 'namibian pop']",Elvis se Seun,28
10242,133VMOxL17p90U0IOcz1Yg,455,[],東方快車,19
10243,3PTavRSSFnrRdfpDbbZANh,0,[],Vaggelis Papas,0
10244,6XGJvNG372fPJ2TV2OoN0Z,43358,"['brill building pop', 'bubblegum pop', 'folk rock', 'soft rock']",Classics IV,43
10245,2S7con7y7dNQxTLot82A6n,866,[],Meena,20
10246,73oabrcxZFkgjgeJBP5uJC,29579,"['filmi', 'modern bollywood']",Shail Hada,49
10247,23LbwefIODbyGdRbAz3urj,534461,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Yung Joc,67
10248,6pJfC2TAxHXlBX5jejeK5O,251,[],Leone Magiera,47
10249,5yaQLwn7HuvocJb6iefCFw,329,[],Tanya Tereshina,24
10250,1DA8SLXtp8MMVpgaOWzMQr,866318,"['banda', 'corrido', 'deep regional mexican', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",Chuy Lizarraga y Su Banda Tierra Sinaloense,62
10251,3eJj0UlMwsdztq6689iu0X,245,[],(Con La Participación de Marc Anthony),31
